2025-04-22 21:15:29 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:15:29 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 21:15:29 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 21:15:52 | INFO | root | [test_login_ddt.py:79] - Login DDT test passed
2025-04-22 21:15:52 | INFO | root | [test_login_ddt.py:86] - End of Login DDT Test
2025-04-22 21:15:52 | INFO | root | [test_login_ddt.py:87] - Completed TC_LoginDDT_002
2025-04-22 21:19:19 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:19:20 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-22 21:19:20 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-22 21:19:21 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-22 21:19:22 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:19:23 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-22 21:19:35 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-22 21:19:36 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:19:37 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 21:19:37 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 21:20:29 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:20:29 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-22 21:20:29 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-22 21:20:30 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-22 21:20:33 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:20:34 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-22 21:20:46 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-22 21:20:47 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:20:48 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 21:20:48 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 21:23:59 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:24:00 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-22 21:24:00 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-22 21:24:01 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-22 21:24:02 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:24:03 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-22 21:24:14 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-22 21:24:16 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:24:17 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 21:24:17 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
